song_title,artist,musical_genre,ethnicity,musical_subgenre,gender
No Me Doy Por Vencido,Luis Fonsi,latin,north-american,latin pop,male
Overdrive,Eraserheads,rock,asian,classic rock,Group
Cut the Cord,Shinedown,rock,north-american,hard rock,Group
Illuminate,Good Times Ahead,r&b,north-american,neo soul,Group
Right Here Waiting,Richard Marx,pop,north-american,electropop,male
All My Life I've Wanted A Chevy,$uicideBoy$,rap,north-american,gangster rap,Group
Don't Want You Back,Bakermat,edm,european,electro house,male
Syrup & Honey,Duffy,r&b,european,neo soul,female
Human,Sevdaliza,r&b,european,urban contemporary,female
Habiba Prima,Kurdo,rap,european,hip hop,male
Think About Me,dvsn,r&b,north-american,neo soul,Group
Coming Down,Halsey,r&b,north-american,hip pop,female
She Will Be Loved - Radio Mix,Maroon 5,pop,north-american,post-teen pop,Group
"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,latin,north-american,latin pop,male
Grenade,Bruno Mars,latin,north-american,latin hip hop,male
Milkshake,Kelis,rap,north-american,southern hip hop,female
Coolant - Remix,Farruko,latin,north-american,reggaeton,male
She's The One,Robbie Williams,rock,european,permanent wave,male
Lucy in the Sky With Diamonds,Bill Evans,r&b,north-american,hip pop,male
Ready or Not,Fugees,rap,north-american,gangster rap,Group
Lightly,Amos Lee,r&b,north-american,neo soul,male
Take the Highway,The Marshall Tucker Band,rock,north-american,classic rock,Group
Thing For You - Don Diablo Remix,David Guetta,edm,european,pop edm,male
Yoohoo,Dusky,edm,european,progressive electro house,Group
Where Are You Now,Bjørn Riis,rock,european,album rock,male
Room Shaker,Ailee,pop,asian,dance pop,female
Dancer,Gino Soccio,edm,north-american,progressive electro house,male
Nobody Does It Better,Carly Simon,rock,north-american,album rock,female
Another Again,John Legend,r&b,north-american,urban contemporary,male
What's Your Fantasy (Featuring Shawna),Ludacris,rap,north-american,hip hop,male
The Next Episode,Dr. Dre,rap,north-american,gangster rap,male
Motownphilly,Boyz II Men,r&b,north-american,new jack swing,Group
Head Over Boots,Jon Pardi,latin,north-american,latin hip hop,male
Girl Next Door,Musiq Soulchild,r&b,north-american,neo soul,male
So What,P!nk,pop,north-american,post-teen pop,female
Mister Glassman,Scotty Sire,pop,north-american,electropop,male
"Temptation - 7"" Version; 2015 Remaster",New Order,rock,european,permanent wave,Group
Chills,Down With Webster,pop,north-american,indie poptimism,Group
Ride 'Em On Down,The Rolling Stones,rock,european,classic rock,Group
Sharing The Night Together,Dr. Hook,rock,north-american,classic rock,Group
Somebody Else,The 1975,pop,european,electropop,Group
Dile,Don Omar,latin,north-american,reggaeton,male
FAKE,BROCKHAMPTON,r&b,north-american,urban contemporary,Group
Life in a Northern Town,The Dream Academy,rock,european,album rock,Group
A Sky Full of Stars - Hardwell Remix,Coldplay,edm,european,pop edm,Group
ANOTHERLOVE,Prince,r&b,north-american,neo soul,male
Right Here,Jess Glynne,pop,european,post-teen pop,female
A Dios Le Pido - MTV Unplugged,Juanes,latin,latino,latin pop,male
Moist (feat. K CAMP),Eric Bellinger,r&b,north-american,urban contemporary,male
Running Back (feat. Lil Wayne),Wale,rap,north-american,southern hip hop,male
Elusive,blackwave.,r&b,european,neo soul,Group
Refugee,Tom Petty and the Heartbreakers,rock,north-american,classic rock,Group
When We Were Young,Lost Kings,edm,north-american,pop edm,Group
Stitches - Seeb Remix,Shawn Mendes,edm,north-american,pop edm,male
Let's Get Blown,Snoop Dogg,r&b,north-american,new jack swing,male
Who The Fuck Are Arctic Monkeys?,Arctic Monkeys,rock,european,permanent wave,Group
Hello,Ice Cube,rap,north-american,gangster rap,male
Cry,The Used,rock,north-american,hard rock,Group
Rushing Back - Petit Biscuit Remix,Flume,rap,oceania,trap,male
There's Still A Light In The House,Valley,pop,north-american,indie poptimism,Group
Los Que Son,Jamby el Favo,rap,north-american,trap,male
Pinky Ring - Remix,Miky Woodz,rap,north-american,trap,male
Someone to Love,Jon B.,r&b,north-american,new jack swing,male
War Wounds,Master P,rap,north-american,southern hip hop,male
Sezon,Otsochodzi,rap,european,trap,male
The House of the Rising Sun,The Animals,rock,european,hard rock,Group
Dancing In The Dark,Bruce Springsteen,rock,north-american,classic rock,male
Spread Your Love,Black Rebel Motorcycle Club,rock,north-american,permanent wave,Group
Been A While,Sam Feldt,latin,european,tropical,male
Call Out My Name,The Weeknd,r&b,north-american,urban contemporary,male
Guayo,Zion & Lennox,latin,north-american,latin pop,Group
Slave II,Logic,rap,north-american,hip hop,male
Surrender,Cheap Trick,rock,north-american,classic rock,Group
Celebration,Kylie Minogue,pop,oceania,dance pop,female
Six Feet Under,The Weeknd,r&b,north-american,urban contemporary,male
Amsterdam - Recorded at Spotify Studios NYC,Mandolin Orange,r&b,north-american,hip pop,Group
Domino Dancing,Pet Shop Boys,rock,european,permanent wave,Group
WTF!? - Original Mix,Zomboy,edm,european,electro house,male
Just Remember I Love You,Firefall,rock,north-american,album rock,Group
Canela en Rama,El Kanka,latin,european,tropical,male
What Lovers Do (feat. SZA),Maroon 5,pop,north-american,electropop,Group
"BOTA FUEGO (feat. Dímelo Flow, Justin Quiles & Lenny Tavárez) - Remix",Mau y Ricky,rap,latino,trap,Group
Party Up,DMX,rap,north-american,gangster rap,male
Slow Ride - 45 Version,Foghat,rock,european,album rock,Group
Running on Empty,Jackson Browne,rock,north-american,classic rock,male
"Wicked Game - Recorded Live at St Canice Cathedral, Kilkenny",James Vincent McMorrow,r&b,european,urban contemporary,male
Loco Enamorado,Abraham Mateo,latin,european,latin hip hop,male
Are You Satisfied?,Reignwolf,rap,north-american,southern hip hop,Group
Comin' Out Hard,8Ball & MJG,rap,north-american,southern hip hop,Group
How Bout Now,Drake,r&b,north-american,urban contemporary,male
Since You Been Gone,Rainbow,rock,european,hard rock,Group
Kung Wala Ka,Hale,rock,asian,classic rock,Group
A Ella,KAROL G,latin,latino,reggaeton,female
A Question of Lust,Depeche Mode,rock,european,permanent wave,Group
Silencio,Jorge Drexler,latin,latino,latin pop,male
Zun Da Da,Zion,latin,north-american,reggaeton,male
Out of the Blue - 2014 Remastered Version,Michael Learns To Rock,rock,european,album rock,Group
Climax (feat. 6lack),Young Thug,r&b,north-american,urban contemporary,male
Counter Human Emotion,Set Mo,edm,oceania,progressive electro house,Group
You should be sad,Halsey,r&b,north-american,hip pop,female
Love Hurts,Nazareth,rock,european,album rock,Group
Damage Control,Perttu,pop,european,electropop,male
Mere Gully Mein (feat. Naezy),DIVINE,rap,north-american,hip hop,male
Monster,Future,r&b,north-american,urban contemporary,male
My Love (feat. T.I.),Justin Timberlake,rap,north-american,southern hip hop,male
Rock the Night,Europe,rock,european,hard rock,Group
Llegamos A La Disco,Daddy Yankee,latin,north-american,reggaeton,male
Millionaire (feat. Nelly) - Alan Walker Remix,Cash Cash,pop,north-american,indie poptimism,Group
Centerfold,The J. Geils Band,rock,north-american,classic rock,Group
Poker Face,Lady Gaga,edm,north-american,pop edm,female
Payback,Brownside,latin,north-american,latin hip hop,Group
Something In The Way,Jorja Smith,r&b,european,neo soul,female
"Try Everything - From ""Zootopia"" Soundtrack",Shakira,pop,latino,indie poptimism,female
I Go Crazy,Flesh For Lulu,rock,european,permanent wave,Group
My My My!,Troye Sivan,pop,oceania,post-teen pop,male
Heavy Is the Head,Zac Brown Band,rock,north-american,hard rock,Group
Beggar's Song,Matt Maeson,pop,north-american,indie poptimism,male
Supalonely,BENEE,pop,oceania,dance pop,female
The Back Seat Of My Car,Paul McCartney,rock,european,album rock,male
Felicidad,Gondwana,latin,latino,latin pop,Group
Black Magic Woman,Santana,rock,north-american,classic rock,Group
Keep On Movin',Soul II Soul,r&b,european,new jack swing,Group
Cloud 9,Beach Bunny,pop,north-american,indie poptimism,Group
Just Like Heaven,The Cure,rock,european,permanent wave,Group
Beautiful,Snoop Dogg,r&b,north-american,new jack swing,male
It Was A Good Day,Ice Cube,rap,north-american,gangster rap,male
Noch n Schluck (feat. Maxwell),Estikay,rap,european,hip hop,male
Our Story - Radio Edit,Mako,edm,north-american,pop edm,Group
Never Been,Logic,rap,north-american,hip hop,male
Look Away - Steve Void Remix,Stephen Puth,latin,north-american,tropical,male
Universal Love - Nicola Veneziani Remix,Edward Maya,edm,european,progressive electro house,male
Smoker's Paradise,Spanish Fly,latin,north-american,latin hip hop,Group
1 of 1,Tyga,rap,north-american,southern hip hop,male
On Bended Knee,Boyz II Men,r&b,north-american,new jack swing,Group
Heartz Of Men,2Pac,rap,north-american,gangster rap,male
On My Mind,Ellie Goulding,latin,european,latin hip hop,female
Play Nice,Pacific Air,pop,north-american,indie poptimism,Group
What I Like About You (feat. Theresa Rex),Jonas Blue,pop,european,dance pop,male
Dilemma,Nelly,r&b,north-american,new jack swing,male
DEVASTATED,Joey Bada$$,rap,north-american,hip hop,male
Dancing Queen,ABBA,latin,european,latin hip hop,Group
Rhythm Nation,Janet Jackson,r&b,north-american,new jack swing,female
Sunday Bloody Sunday - Remastered 2008,U2,rock,european,classic rock,Group
Just A Lil Bit,50 Cent,rap,north-american,gangster rap,male
Got Me (with Ari Lennox & Omen feat. Ty Dolla $ign & Dreezy),Dreamville,r&b,north-american,neo soul,Group
Set You Free (feat. Kelly Price),Wale,r&b,north-american,neo soul,male
Say It,Phantoms,pop,north-american,dance pop,Group
Out Of The Ordinary,Jacquees,r&b,north-american,neo soul,male
Long Train Runnin',The Doobie Brothers,rock,north-american,classic rock,Group
TBT,Yera,latin,latino,tropical,male
What Lovers Do (feat. SZA),Maroon 5,r&b,north-american,hip pop,Group
Habri Pia,Broederliefde,latin,european,latin hip hop,Group
Boom Boom,RedOne,latin,european,latin hip hop,male
Rollup - Baauer Remix,Flosstradamus,rap,north-american,trap,Group
bury a friend,Billie Eilish,r&b,north-american,hip pop,female
B11 (feat. Myke Towers),Rvssian,latin,latino,reggaeton,male
Knocks Me Off My Feet,Donell Jones,r&b,north-american,new jack swing,male
District,AK Ausserkontrolle,rap,european,gangster rap,male
You Make My Dreams,Daryl Hall & John Oates,rock,north-american,classic rock,Group
Panama - 2004 Remaster,Van Halen,rock,north-american,classic rock,Group
Hey Jealousy,Gin Blossoms,rock,north-american,permanent wave,Group
breathin,Ariana Grande,pop,north-american,electropop,female
Bailame Despacio,Xantos,latin,latino,latin pop,male
When The Lights Turn Off - New Radio Mix,Spencer & Hill,edm,european,progressive electro house,Group
Drinking Alone,Carrie Underwood,r&b,north-american,neo soul,female
Feel So Numb,Rob Zombie,rock,north-american,hard rock,male
Don't Leave - Ekali Remix,Snakehips,edm,european,pop edm,Group
Bury Me A G,Thug Life,rap,north-american,gangster rap,Group
I Ran (So Far Away),A Flock Of Seagulls,rock,european,hard rock,Group
Personal - PBH & Jack Shizzle Remix,HRVY,edm,european,pop edm,male
She Doesn't Mind,Sean Paul,latin,latino,latin hip hop,male
Your Love,The Outfield,rock,european,classic rock,Group
Small Town,John Mellencamp,rock,north-american,classic rock,male
Where I Wanna Be,Donell Jones,r&b,north-american,new jack swing,male
Bruises,Lewis Capaldi,pop,european,post-teen pop,male
So Am I - Toby Green Remix,Ava Max,pop,north-american,dance pop,female
Higher Place - Bassjackers Remix,Dimitri Vegas & Like Mike,edm,european,pop edm,Group
Miss You,Gabrielle Aplin,pop,european,indie poptimism,female
Money And The Power,Scarface,rap,north-american,southern hip hop,male
Love On Myself - Keanu Silva Remix,Felix Jaehn,edm,european,big room,non-binary
Ridin Big,Pastor Troy,rap,north-american,southern hip hop,male
Video,India.Arie,r&b,north-american,neo soul,female
Aire,Javiera Mena,pop,latino,electropop,female
Livin' Thing,Electric Light Orchestra,rock,european,classic rock,Group
I Don't Ever Want to See You Again,Uncle Sam,r&b,north-american,new jack swing,male
Saturday in the Park - 2002 Remaster,Chicago,rock,north-american,album rock,Group
Catch - Radio Edit,Will Sparks,edm,oceania,electro house,male
Me Reclama,Mambo Kingz,latin,north-american,reggaeton,Group
No Weapon,Fred Hammond,r&b,north-american,urban contemporary,male
La Rompe Corazones,Daddy Yankee,latin,north-american,reggaeton,male
You're My Best Friend - Remastered 2011,Queen,rock,european,classic rock,Group
"Get Down, Make Love - Remastered 2011",Queen,rock,european,album rock,Group
Middle - 4B Remix,DJ Snake,edm,european,big room,male
Olvidarte,Eladio Carrion,rap,north-american,trap,male
Unicorn Zombie Apocalypse,Borgore,edm,asian,big room,male
Do That To Me One More Time,Captain & Tennille,rock,north-american,album rock,Group
I Can't Quit You Baby - 2014 Remaster,Led Zeppelin,rock,european,classic rock,Group
For Better or Worse,Sir Charles Jones,rap,north-american,southern hip hop,male
Fuck With Myself,BANKS,pop,north-american,indie poptimism,female
Perros Salvajes,Daddy Yankee,latin,north-american,reggaeton,male
World's on Fire,Superheart,pop,european,indie poptimism,male
Prayer Of The Refugee,Rise Against,rock,north-american,hard rock,Group
Paris (Aeroplane Remix),Friendly Fires,pop,european,electropop,Group
Novacane,Frank Ocean,r&b,north-american,urban contemporary,male
Feed The Dada - Radio Edit,Dada Life,edm,european,progressive electro house,Group
Tell Me,Dru Hill,r&b,north-american,neo soul,Group
Something Real (with London On Da Track & Chris Brown),Summer Walker,r&b,north-american,urban contemporary,female
Time,Angelo De Augustine,r&b,north-american,hip pop,male
Get Loose - Tiësto Remix,Showtek,edm,european,progressive electro house,Group
Johnny And Mary,Robert Palmer,pop,european,electropop,male
Mount Sinai,$uicideBoy$,rap,north-american,gangster rap,Group
Wave (feat. Mike Sabath) - R3hab Remix,Meghan Trainor,edm,north-american,big room,female
Best of Me,Anthony Hamilton,r&b,north-american,neo soul,male
Have You Ever Needed Someone So Bad,Def Leppard,rock,european,album rock,Group
Powerful (feat. Ellie Goulding & Tarrus Riley),Major Lazer,pop,latino,electropop,Group
Smile,R5,pop,north-american,post-teen pop,Group
Middle,DJ Snake,pop,european,electropop,male
Together We Are (feat. Chris James),ARTY,edm,european,progressive electro house,male
In Too Deep - 2007 Remaster,Genesis,rock,european,album rock,Group
Shut Up - Studio Version,Stormzy,rap,european,gangster rap,male
Come As You Are,Nirvana,rock,north-american,classic rock,Group
Ayy Ladies,Travis Porter,rap,north-american,southern hip hop,Group
Just You and I - R3HAB Remix,Tom Walker,edm,european,progressive electro house,male
Lollipop,Lil Wayne,rap,north-american,hip hop,male
Suave,Luis Miguel,latin,north-american,latin pop,male
Love Is Like Oxygen - Alternate Version,Sweet,rock,european,classic rock,Group
Mind,Declan McKenna,pop,european,indie poptimism,male
all my friends,21 Savage,rap,north-american,trap,male
I Want To Hold Your Hand - Remastered 2015,The Beatles,rock,european,classic rock,Group
We Will Rock You - Remastered,Queen,rock,european,album rock,Group
Eyes Wide Open,Sabrina Carpenter,pop,north-american,post-teen pop,female
Rock DJ,Robbie Williams,rock,european,permanent wave,male
That's a Rack,Lil Uzi Vert,rap,north-american,trap,non-binary
You Got Me,The Roots,latin,north-american,latin hip hop,Group
Let Me Love You,DJ Snake,pop,european,electropop,male
Sail Away,Møme,edm,european,electro house,male
Rock Me Amadeus - The Gold Mix,Falco,pop,european,electropop,male
Breakaway,Kelly Clarkson,pop,north-american,post-teen pop,female
Don't Dream It's Over - Recorded at Sound Stage Studios Nashville,Lauren Daigle,r&b,north-american,neo soul,female
En Su Nota,Don Omar,latin,north-american,reggaeton,male
Please Come Home For Christmas,Charles Brown,r&b,north-american,neo soul,male
Often,The Weeknd,r&b,north-american,urban contemporary,male
Loose Ends,Loyle Carner,pop,european,indie poptimism,male
Toys In The Attic,Aerosmith,rock,north-american,album rock,Group
Angel,Loyle Carner,rap,european,hip hop,male
Love Is A Long Road,Tom Petty,rock,north-american,hard rock,male
Broken - Live,Seether,latin,north-american,latin pop,Group
Sixteen,Ellie Goulding,pop,european,dance pop,female
Incomplete Kisses,Sampha,r&b,european,neo soul,male
Clockwatch,AmirSaysNothing,pop,north-american,indie poptimism,male
How We Do,The Game,rap,north-american,gangster rap,male
Humble And Kind,Tim McGraw,latin,north-american,latin hip hop,male
Cubierto de Ti,Rauw Alejandro,rap,north-american,trap,male
Ufødte,Jamaika,rap,european,hip hop,male
The Kid I Used to Know,Arrested Youth,rap,north-american,trap,male
Some Say,Nea,pop,european,post-teen pop,female
Das Leben ist so,Capital Bra,rap,european,gangster rap,male
Strangers Do,Jonas Aden,edm,european,progressive electro house,male
Riders on the Storm - New Stereo Mix,The Doors,rock,north-american,hard rock,Group
Looking Like This,Lyre Le Temps,edm,european,electro house,Group
Who Knew,P!nk,edm,north-american,pop edm,female
Why Do You Love Me,Garbage,rock,north-american,album rock,Group
You're On (feat. Kyan),Madeon,pop,european,electropop,male
You Can Be Mine,Janet Jackson,r&b,north-american,new jack swing,female
Pegamos Tela,Lérica,pop,european,dance pop,Group
Sleepless Nights,ayokay,pop,north-american,dance pop,male
Come Back To Me - Vicetone Remix,Urban Cone,edm,european,pop edm,Group
Express Yourself,Charles Wright & The Watts 103rd Street Rhythm Band,r&b,north-american,urban contemporary,Group
Iesha,Another Bad Creation,r&b,north-american,new jack swing,Group
Beautiful Creatures (feat. MAX),ILLENIUM,rap,north-american,trap,male
Fake It,Seether,rock,north-american,hard rock,Group
High And Low,Sam Feldt,latin,european,tropical,male
Blister In The Sun,Violent Femmes,rock,north-american,permanent wave,Group
The Ghost in You,The Psychedelic Furs,rock,european,permanent wave,Group
Erase Yourself,Cuva,pop,north-american,indie poptimism,Group
Scenes from an Italian Restaurant,Billy Joel,rock,north-american,classic rock,male
Everyday We Lit (feat. PnB Rock),YFN Lucci,r&b,north-american,hip pop,male
Rock 'N' Roll All Nite - Live,KISS,latin,north-american,latin pop,Group
Celebrate Tonight,Allen Stone,r&b,north-american,neo soul,male
Doin’ Dirt,Maroon 5,pop,north-american,electropop,Group
Fool's Gold,Jill Scott,r&b,north-american,neo soul,female
Echoes - Extended Mix,Henrik B,edm,european,progressive electro house,male
Feenin',Jodeci,r&b,north-american,new jack swing,Group
8 Minutes to Sunrise,Common,r&b,north-american,neo soul,male
Mi Llamada,Rauw Alejandro,rap,north-american,trap,male
Es geht voran,RAF Camora,rap,european,hip hop,male
Mr. Jones,Counting Crows,rock,north-american,classic rock,Group
Lord Willin',Logic,rap,north-american,hip hop,male
Quiro Saber,Ivy Queen,latin,north-american,reggaeton,female
Everything Looks Beautiful,Lucie Silvas,r&b,european,neo soul,female
Ka Ikk,RH,rap,european,hip hop,Group
Sigo Fresh,Fuego,rap,north-american,trap,male
Wepa,Gloria Estefan,latin,north-american,latin pop,female
Heaven - David Guetta & MORTEN Remix,Avicii,pop,european,dance pop,male
Jailbreak,Thin Lizzy,rock,european,classic rock,Group
Alive,Pearl Jam,rock,north-american,hard rock,Group
Honey,Erykah Badu,r&b,north-american,neo soul,female
Are You That Somebody,Aaliyah,r&b,north-american,new jack swing,female
Skateboard P,MadeinTYO,rap,north-american,gangster rap,male
Triste,Bryant Myers,rap,north-american,trap,male
You & Me,Marc E. Bassy,pop,north-american,indie poptimism,male
One Call Away - Acoustic,Charlie Puth,latin,north-american,latin pop,male
Beat of My Heart (feat. Love Harder),Lost Frequencies,edm,european,big room,male
The Boys Are Back In Town,Thin Lizzy,rock,european,hard rock,Group
Make U Love Me,Tujamo,pop,european,post-teen pop,male
I Don't Want It At All,Kim Petras,pop,north-american,post-teen pop,female
That's Why (You Go Away) - 2014 Remastered Version,Michael Learns To Rock,rock,european,album rock,Group
Where The Streets Have No Name - Remastered,U2,rock,european,permanent wave,Group
Capsize,FRENSHIP,pop,north-american,indie poptimism,Group
Ella - Remix,Pitizion,latin,latino,latin pop,female
Mi Mujer,Nicolas Jaar,pop,north-american,dance pop,male
What Is Love 2016 - Dimitri Vegas & Like Mike Remix,Lost Frequencies,edm,european,progressive electro house,male
xanny,Billie Eilish,r&b,north-american,urban contemporary,female
FEFE,6ix9ine,r&b,north-american,hip pop,male
Stay With Me,Sam Smith,edm,european,pop edm,non-binary
Narcissist (feat. The 1975),No Rome,pop,european,indie poptimism,male
Never Gonna Give You Up,The Black Keys,r&b,north-american,neo soul,Group
Animal,Def Leppard,rock,european,album rock,Group
Love Is Blind,Coleman Hell,pop,north-american,indie poptimism,male
Look Alive (feat. Drake),BlocBoy JB,rap,north-american,gangster rap,male
Saturday (Oooh! Ooooh!),Ludacris,rap,north-american,southern hip hop,male
Per Un Milione,Boomdabash,r&b,european,hip pop,Group
Me Enamoré,Shakira,latin,latino,latin pop,female
Pa Mi,Lyanno,rap,north-american,trap,male
As the Music Plays the Band,Bamboo,rock,asian,classic rock,Group
Friday I'm In Love,The Cure,rock,european,permanent wave,Group
Crooked Teeth,Death Cab for Cutie,rock,north-american,album rock,Group
Less Than I Do,The Band CAMINO,pop,north-american,indie poptimism,Group
Alright,NLSN,latin,european,tropical,male
State Of The Nation,Industry,rock,north-american,permanent wave,Group
Give Me Everything,Pitbull,pop,north-american,post-teen pop,male
Call Me,Blondie,rock,north-american,permanent wave,Group
Désolé,Fero47,rap,european,hip hop,male
Big Drip,Ufo361,rap,european,hip hop,male
Slow Hands,Interpol,rock,north-american,permanent wave,Group
yes,Musiq Soulchild,r&b,north-american,neo soul,male
Be As You Are - JordanXL Remix,Mike Posner,edm,north-american,pop edm,male
Own It (feat. Ed Sheeran & Burna Boy),Stormzy,latin,european,latin hip hop,male
Addicted To That Rush,Mr. Big,rock,north-american,hard rock,Group
Scotch,Sidoka,rap,latino,trap,male
HandClap,Fitz and The Tantrums,latin,north-american,latin hip hop,Group
St. Tropez,J. Cole,r&b,north-american,neo soul,male
Fade Away,Logic,rap,north-american,hip hop,male
Wake Me Up,Avicii,edm,european,progressive electro house,male
The Shape I'm In - Remastered 2000,The Band,rock,north-american,classic rock,Group
The Creeper - Bonus Track,Molly Hatchet,rock,north-american,classic rock,Group
Them Changes,Buddy Miles,r&b,north-american,urban contemporary,male
We Ball,Ace Hood,rap,north-american,southern hip hop,male
Stan,Eminem,rap,north-american,southern hip hop,male
Tie Me Down (with Elley Duhé),Gryffin,edm,north-american,pop edm,male
Lay It on the Line,Triumph,rock,north-american,album rock,Group
Love Bites,Def Leppard,rock,european,album rock,Group
Tartarus,Ghostemane,rap,north-american,gangster rap,male
Get Together,The Youngbloods,rock,north-american,classic rock,Group
Ban Drill,Krept & Konan,rap,european,hip hop,Group
Enough,GOT7,edm,asian,pop edm,Group
Choir - Remix,Guy Sebastian,pop,oceania,dance pop,male
Desperte Sin Ti (Remix),Noriel,rap,north-american,trap,male
Down To This,Chuckie,edm,european,progressive electro house,male
No Te Cuesta Nada,Javiera Mena,pop,latino,electropop,female
Me and Your Mama,Childish Gambino,r&b,north-american,urban contemporary,male
It Hurts (There Must Be a Taste of Murder in It),The Lotus Eaters,pop,european,electropop,Group
Miss You Much,Janet Jackson,r&b,north-american,new jack swing,female
Firework,Katy Perry,pop,north-american,dance pop,female
99 Red Balloons - Club Mix,Nena,rock,european,permanent wave,female
Don't Worry Bout Me - Rudimental Remix,Zara Larsson,pop,european,dance pop,female
I Got U,Duke Dumont,pop,european,indie poptimism,male
"Rhythm Is A Dancer - 7"" Edit",SNAP!,pop,european,dance pop,Group
Bruises - Steve Void Remix,Lewis Capaldi,pop,european,dance pop,male
Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,David Guetta,pop,european,dance pop,male
Send Me An Angel,Scorpions,rock,european,hard rock,Group
End Of Me,Ashes Remain,rock,north-american,hard rock,Group
Fighter,Klaas,edm,european,big room,male
Gangland,Manuellsen,rap,european,gangster rap,male
Keep on Loving You,REO Speedwagon,rock,north-american,classic rock,Group
Butterfly,Weezer,rock,north-american,permanent wave,Group
I Really Like You - Blasterjaxx Remix,Carly Rae Jepsen,edm,north-american,pop edm,female
I Feel It Coming,The Weeknd,pop,north-american,electropop,male
Can't Stop Dancin' - J Balvin Remix,Becky G,latin,north-american,latin hip hop,female
Everything and More (feat. Aaron Cole),Hollyn,pop,north-american,dance pop,female
Concrete Hell,5th Ward Boyz,rap,north-american,southern hip hop,Group
It Don't Come Easy,Ringo Starr,rock,european,hard rock,male
Hola Que Tal,J Balvin,latin,latino,reggaeton,male
Body - Dzeko Remix,Loud Luxury,edm,north-american,pop edm,Group
Sunshine Superman,Donovan,rock,european,classic rock,male
Bon appétit,Katy Perry,pop,north-american,post-teen pop,female
Red Light Special - Radio Edit,TLC,r&b,north-american,new jack swing,Group
Mirrors,Justin Timberlake,pop,north-american,dance pop,male
Lost,ILLENIUM,edm,north-american,pop edm,male
Feel It In The Air,Beanie Sigel,rap,north-american,southern hip hop,male
Old Man - 2017 Remaster,Neil Young,rock,north-american,classic rock,male
El Ratico,Juanes,latin,latino,latin hip hop,male
Hurts So Good,Astrid S,pop,european,indie poptimism,female
"Flashlight - From ""Pitch Perfect 2"" Soundtrack",Jessie J,pop,european,post-teen pop,female
Bring Me Your Love (feat. THEA),Giraffage,pop,north-american,indie poptimism,male
Love Me,Lil Tecca,rap,north-american,trap,male
I Kissed A Girl,Katy Perry,edm,north-american,pop edm,female
Smooth Operator - Remastered,Sade,rock,european,album rock,Group
Don't Dream It's Over,Crowded House,rock,oceania,album rock,Group
the movies,Nightly,pop,north-american,indie poptimism,Group
Dance the Night Away - 2015 Remaster,Van Halen,rock,north-american,classic rock,Group
"Build God, Then We'll Talk",Panic! At The Disco,rock,north-american,permanent wave,Group
Rain Fall Down,The Rolling Stones,rock,european,hard rock,Group
Tired,Adele,pop,european,indie poptimism,female
Try Me,The Weeknd,r&b,north-american,urban contemporary,male
Reborn,KIDS SEE GHOSTS,rap,north-american,hip hop,Group
The Real Me,The Who,rock,european,classic rock,Group
Everybody Wants To Rule The World,Tears For Fears,rock,european,classic rock,Group
Why Lady Why,JD McPherson,r&b,north-american,neo soul,male
Rhythm & Blues,The Head and the Heart,pop,north-american,indie poptimism,Group
Hey Brother,Avicii,pop,european,post-teen pop,male
In Da Club,50 Cent,rap,north-american,southern hip hop,male
Happy People (feat. Marky Mark),Prince Ital Joe,pop,north-american,dance pop,male
You Deserve Better,James Arthur,r&b,european,urban contemporary,male
44 Bars,Logic,rap,north-american,hip hop,male
Don't Let Me Down - W&W Remix,The Chainsmokers,edm,north-american,electro house,Group
In My Room,Frank Ocean,r&b,north-american,hip pop,male
Ocean Avenue Acoustic,Yellowcard,latin,north-american,latin pop,Group
Feenin',Jodeci,r&b,north-american,new jack swing,Group
Hasta Abajo,Don Omar,latin,north-american,reggaeton,male
Dios Bendiga (Remix),Amenazzy,rap,latino,trap,male
Alma,Javiera Mena,pop,latino,electropop,female
Kylie,Akcent,edm,european,progressive electro house,Group
I Got Cha Opin,Black Moon,rap,north-american,southern hip hop,Group
Que Calor (with J Balvin) - Badshah Remix,Major Lazer,latin,latino,latin pop,Group
El Mentiroso,Gente De Zona,latin,latino,tropical,Group
Make It Better (feat. Smokey Robinson),Anderson .Paak,rap,north-american,southern hip hop,male
No Type,Rae Sremmurd,pop,north-american,electropop,Group
Genesis,Grimes,pop,north-american,dance pop,female
Panini - DaBaby Remix,Lil Nas X,rap,north-american,gangster rap,male
Inside Out - DubVision Remix,The Chainsmokers,edm,north-american,pop edm,Group
Just,Radiohead,rock,european,permanent wave,Group
Take a Walk,Passion Pit,pop,north-american,indie poptimism,Group
Like I Love You,Lost Frequencies,pop,european,dance pop,male
Need a Little Time,Courtney Barnett,rock,oceania,permanent wave,female
Run Wild,Thutmose,pop,north-american,electropop,male
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,pop,north-american,indie poptimism,female
Salvation - Remix,Gabrielle Aplin,pop,european,indie poptimism,female
El Efecto,Rauw Alejandro,latin,north-american,reggaeton,male
Stranger Things (feat. OneRepublic),Kygo,latin,european,tropical,male
Phat Rabbit,Ludacris,rap,north-american,southern hip hop,male
Wat Is Je Naam,Yxng Le,latin,european,latin hip hop,male
Happy Song,Bring Me The Horizon,rock,european,hard rock,Group
